wavelength,throughput,filter,lambda_c
0.7955499877929687,0.1824920907857648,F090W,0.902
0.7965499877929687,0.2099361005740456,F090W,0.902
0.7975499877929687,0.23026023869312204,F090W,0.902
0.7985499877929687,0.24472323240999497,F090W,0.902
0.7995499877929687,0.2539972843963676,F090W,0.902
0.8005499877929687,0.2604786623955521,F090W,0.902
0.8015499877929687,0.26360467615117206,F090W,0.902
0.8025499877929687,0.2645087826600529,F090W,0.902
0.8035499877929687,0.2650089606781452,F090W,0.902
0.8045499877929687,0.2661554932377268,F090W,0.902
0.8055499877929687,0.26699040473815805,F090W,0.902
0.8065499877929687,0.26621491213099224,F090W,0.902
0.8075499877929687,0.2629324576317426,F090W,0.902
0.8085499877929687,0.25846630610747473,F090W,0.902
0.8095499877929687,0.2551103517430108,F090W,0.902
0.8105499877929687,0.2545023224007785,F090W,0.902
0.8115499877929687,0.2564187600145086,F090W,0.902
0.8125499877929687,0.25961269592373115,F090W,0.902
0.8135499877929687,0.2617209325705576,F090W,0.902
0.8145499877929687,0.26396483525613146,F090W,0.902
0.8155499877929687,0.26326392146234273,F090W,0.902
0.8165499877929687,0.26298058856621037,F090W,0.902
0.8175499877929687,0.26477250443979244,F090W,0.902
0.8185499877929687,0.2692417427478382,F090W,0.902
0.8195499877929687,0.2739419827511534,F090W,0.902
0.8205499877929687,0.2803549508950135,F090W,0.902
0.8215499877929687,0.28507258583263256,F090W,0.902
0.8225499877929687,0.287334914644678,F090W,0.902
0.8235499877929687,0.28806897683934996,F090W,0.902
0.8245499877929687,0.2874378892696116,F090W,0.902
0.8255499877929687,0.2842827208160014,F090W,0.902
0.8265499877929687,0.28115021396714557,F090W,0.902
0.8275499877929687,0.27942384663645825,F090W,0.902
0.8285499877929687,0.2792881743478985,F090W,0.902
0.8295499877929687,0.28040427625415393,F090W,0.902
0.8305499877929687,0.2812550770382179,F090W,0.902
0.8315499877929687,0.2817900652854807,F090W,0.902
0.8325499877929687,0.2811788523925384,F090W,0.902
0.8335499877929687,0.2794958117628912,F090W,0.902
0.8345499877929687,0.2773611362768297,F090W,0.902
0.8355499877929687,0.2774041442652681,F090W,0.902
0.8365499877929687,0.2783454386765074,F090W,0.902
0.8375499877929687,0.2804032548542506,F090W,0.902
0.8385499877929687,0.2828792257855346,F090W,0.902
0.8395499877929687,0.2848635762105177,F090W,0.902
0.8405499877929687,0.2868445620379628,F090W,0.902
0.8415499877929687,0.28847788170130717,F090W,0.902
0.8425499877929687,0.2899672937261366,F090W,0.902
0.8435499877929687,0.2912896992001033,F090W,0.902
0.8445499877929687,0.2926788005202615,F090W,0.902
0.8455499877929687,0.2927857688040859,F090W,0.902
0.84654998779296875,0.29299811253804375,F090W,0.902
0.8475499877929688,0.2917915335623701,F090W,0.902
0.8485499877929688,0.2915243550157968,F090W,0.902
0.8495499877929688,0.29259174275694255,F090W,0.902
0.8505499877929688,0.29355892201867545,F090W,0.902
0.8515499877929688,0.29561412404787446,F090W,0.902
0.8525499877929688,0.29513126817945257,F090W,0.902
0.8535499877929688,0.2944032880525314,F090W,0.902
0.8545499877929688,0.29383423897965627,F090W,0.902
0.8555499877929688,0.2921579436828919,F090W,0.902
0.8565499877929688,0.29200843648093905,F090W,0.902
0.8575499877929688,0.2918891700786395,F090W,0.902
0.8585499877929688,0.2927835003557939,F090W,0.902
0.8595499877929688,0.29223811809014305,F090W,0.902
0.8605499877929688,0.2934627750142189,F090W,0.902
0.8615499877929688,0.29358062939535645,F090W,0.902
0.8625499877929688,0.2920647268619447,F090W,0.902
0.8635499877929688,0.2917415303155882,F090W,0.902
0.8645499877929688,0.2937117990002677,F090W,0.902
0.8655499877929688,0.294742172462563,F090W,0.902
0.8665499877929688,0.29898495241683926,F090W,0.902
0.8675499877929688,0.3006966657538561,F090W,0.902
0.8685499877929688,0.3014553471549857,F090W,0.902
0.8695499877929688,0.3034014348328863,F090W,0.902
0.8705499877929688,0.30603344302476454,F090W,0.902
0.8715499877929688,0.3048653794721772,F090W,0.902
0.8725499877929688,0.3072964579558647,F090W,0.902
0.8735499877929688,0.30753466497004056,F090W,0.902
0.8745499877929688,0.307671529218947,F090W,0.902
0.8755499877929688,0.3044421882894779,F090W,0.902
0.8765499877929688,0.3036545959498563,F090W,0.902
0.8775499877929688,0.30543515652904424,F090W,0.902
0.8785499877929688,0.30380485997175044,F090W,0.902
0.8795499877929688,0.3002465070311023,F090W,0.902
0.8805499877929688,0.3026832694029921,F090W,0.902
0.8815499877929688,0.30049676245344326,F090W,0.902
0.8825499877929688,0.30064791783541317,F090W,0.902
0.8835499877929688,0.29966665351201066,F090W,0.902
0.8845499877929688,0.2999085277453327,F090W,0.902
0.8855499877929688,0.29403928610414204,F090W,0.902
0.8865499877929688,0.29077151950022634,F090W,0.902
0.8875499877929688,0.2955487709404842,F090W,0.902
0.8885499877929688,0.3021420649300167,F090W,0.902
0.8895499877929688,0.3000284199792854,F090W,0.902
0.8905499877929688,0.30133854540759425,F090W,0.902
0.8915499877929688,0.30813808019694366,F090W,0.902
0.8925499877929688,0.31081044034658184,F090W,0.902
0.8935499877929688,0.3117660123692637,F090W,0.902
0.8945499877929688,0.31279026501058727,F090W,0.902
0.8955499877929688,0.3133140717750384,F090W,0.902
0.8965499877929688,0.31202324650936464,F090W,0.902
0.8975499877929688,0.31070351856777134,F090W,0.902
0.8985499877929688,0.30936814448453587,F090W,0.902
0.8995499877929688,0.30831254386740664,F090W,0.902
0.9005499877929688,0.30725082671135684,F090W,0.902
0.9015499877929688,0.3053395006890869,F090W,0.902
0.9025499877929688,0.30422274347233,F090W,0.902
0.9035499877929688,0.30165840900723556,F090W,0.902
0.9045499877929688,0.29995703546924046,F090W,0.902
0.9055499877929688,0.30040625059036746,F090W,0.902
0.9065499877929688,0.29886196552264077,F090W,0.902
0.9075499877929688,0.297654324244603,F090W,0.902
0.9085499877929688,0.299153664633095,F090W,0.902
0.9095499877929688,0.3001501874914911,F090W,0.902
0.9105499877929688,0.30273786959775284,F090W,0.902
0.9115499877929688,0.30475141744142126,F090W,0.902
0.9125499877929688,0.30741875749235553,F090W,0.902
0.9135499877929688,0.3114080823763954,F090W,0.902
0.9145499877929688,0.3137836092046324,F090W,0.902
0.9155499877929688,0.31699898664510395,F090W,0.902
0.9165499877929688,0.3216425735381039,F090W,0.902
0.9175499877929688,0.3230850023560428,F090W,0.902
0.9185499877929688,0.3258243038250358,F090W,0.902
0.9195499877929688,0.3265162262039629,F090W,0.902
0.9205499877929688,0.32641418653933923,F090W,0.902
0.9215499877929688,0.32739279634021795,F090W,0.902
0.9225499877929688,0.3266620092703674,F090W,0.902
0.9235499877929688,0.32594841878365677,F090W,0.902
0.9245499877929688,0.32329419484614086,F090W,0.902
0.9255499877929688,0.32259997864165757,F090W,0.902
0.9265499877929688,0.32116058908635325,F090W,0.902
0.9275499877929688,0.31920566264823674,F090W,0.902
0.9285499877929688,0.31745841536615665,F090W,0.902
0.9295499877929688,0.3170412046704121,F090W,0.902
0.9305499877929688,0.3160776017858232,F090W,0.902
0.9315499877929688,0.3158698482394131,F090W,0.902
0.9325499877929688,0.3155618956736218,F090W,0.902
0.9335499877929688,0.3149223515610554,F090W,0.902
0.9345499877929688,0.3147184616448672,F090W,0.902
0.9355499877929688,0.3141365212143814,F090W,0.902
0.9365499877929688,0.3137436784366977,F090W,0.902
0.9375499877929688,0.31392071162746943,F090W,0.902
0.9385499877929688,0.3132791224677166,F090W,0.902
