filter,wavelength,throughput,lambda_c,speclite_filter,source
u,0.3227000000000051,2.3372102711573017e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.32280000000000514,2.644831264177393e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.3229000000000051,2.9817319325783764e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.32300000000000517,3.3497694865091256e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.32310000000000516,3.870447970476407e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.3232000000000052,4.448696609846561e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.32330000000000525,5.088641136077791e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.3234000000000053,5.794572618621224e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.3235000000000053,6.57095059658939e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.32360000000000533,7.376511802973065e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.3237000000000053,8.251517090941256e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.32380000000000536,9.199728363274416e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.32390000000000535,0.00010225013384225696,0.3745700760437951,lsst2023-u,lsst2023
u,0.3240000000000054,0.00011331347136191019,0.3745700760437951,lsst2023-u,lsst2023
u,0.3241000000000054,0.00012715893337735578,0.3745700760437951,lsst2023-u,lsst2023
u,0.3242000000000055,0.00014211543491286316,0.3745700760437951,lsst2023-u,lsst2023
u,0.3243000000000055,0.00015822942012151363,0.3745700760437951,lsst2023-u,lsst2023
u,0.3244000000000055,0.00017554765966318236,0.3745700760437951,lsst2023-u,lsst2023
u,0.3245000000000055,0.0001941172437612852,0.3745700760437951,lsst2023-u,lsst2023
u,0.32460000000000555,0.00021388343453570389,0.3745700760437951,lsst2023-u,lsst2023
u,0.32470000000000554,0.00023497526627829025,0.3745700760437951,lsst2023-u,lsst2023
u,0.3248000000000056,0.0002574385778149882,0.3745700760437951,lsst2023-u,lsst2023
u,0.3249000000000056,0.00028131938560812164,0.3745700760437951,lsst2023-u,lsst2023
u,0.3250000000000056,0.0003066638763425043,0.3745700760437951,lsst2023-u,lsst2023
u,0.32510000000000566,0.00033772739789559577,0.3745700760437951,lsst2023-u,lsst2023
u,0.3252000000000057,0.00037098493794072865,0.3745700760437951,lsst2023-u,lsst2023
u,0.3253000000000057,0.00040653140474661135,0.3745700760437951,lsst2023-u,lsst2023
u,0.32540000000000574,0.0004444637100752182,0.3745700760437951,lsst2023-u,lsst2023
u,0.32550000000000573,0.00048488079560062063,0.3745700760437951,lsst2023-u,lsst2023
u,0.3256000000000058,0.0005301331649257396,0.3745700760437951,lsst2023-u,lsst2023
u,0.32570000000000576,0.0005784477027142639,0.3745700760437951,lsst2023-u,lsst2023
u,0.3258000000000058,0.000629961429929553,0.3745700760437951,lsst2023-u,lsst2023
u,0.3259000000000058,0.0006848149179934708,0.3745700760437951,lsst2023-u,lsst2023
u,0.32600000000000584,0.0007431523473716462,0.3745700760437951,lsst2023-u,lsst2023
u,0.3261000000000059,0.0007958949914519211,0.3745700760437951,lsst2023-u,lsst2023
u,0.32620000000000593,0.0008513694144624589,0.3745700760437951,lsst2023-u,lsst2023
u,0.3263000000000059,0.0009096701048366369,0.3745700760437951,lsst2023-u,lsst2023
u,0.32640000000000596,0.0009708935447294648,0.3745700760437951,lsst2023-u,lsst2023
u,0.32650000000000595,0.001035138250522457,0.3745700760437951,lsst2023-u,lsst2023
